Brand,Model,Year,KM_Driven,Fuel_Type,Mileage,Transmission,Owner_Type,Engine,Seats,Selling_Price
Toyota,Fortuner,2019,,Diesel,21.3,Manual,Second Owner,,7,461172
Maruti,Dzire,2012,59710,CNG,26.9,Manual,Second Owner,1498,4,448363
Toyota,Urban Cruiser,2023,174058,Diesel,26,Manual,Second Owner,2179,6,717297
Honda,Jazz,2012,73344,Diesel,25.5,Automatic,Second Owner,1248,4,440081
Honda,Jazz,2018,199956,Petrol,14.2,Manual,Second Owner,796,4,284041
Hyundai,i20,2013,79933,Petrol,20.4,Manual,First Owner,1248,5,391411
Honda,WR-V,2014,109547,Diesel,24.4,Manual,First Owner,1197,6,432571
Maruti,Swift,2020,178608,CNG,13.1,Automatic,Third Owner,1497,5,492405
Tata,Harrier,2017,30029,Diesel,,Automatic,Second Owner,796,6,571037
Honda,City,2014,183521,Petrol,15.2,Automatic,Second Owner,1497,7,309221
Maruti,Dzire,2019,47800,CNG,20.1,Automatic,First Owner,1498,5,690696
Hyundai,Venue,2011,14540,Petrol,16.4,Manual,Second Owner,1197,5,385317
Toyota,Innova,2010,142966,CNG,17.3,Automatic,Second Owner,1997,6,249883
Maruti,WagonR,2015,183834,Diesel,23,Manual,Second Owner,796,5,266520
Honda,Amaze,2012,83234,Diesel,13.3,Manual,Third Owner,1248,5,368518
Honda,WR-V,2016,119665,CNG,21.8,Automatic,First Owner,1248,5,466030
Toyota,Glanza,2022,34012,CNG,19.4,Automatic,Third Owner,1497,6,795846
Mahindra,Bolero,2015,150599,Diesel,19.1,Manual,Third Owner,1997,5,479131
Hyundai,Venue,2017,105427,Petrol,22.5,Automatic,Second Owner,1997,5,626308
Toyota,Urban Cruiser,2011,9930,Petrol,28.8,Manual,First Owner,796,5,396614
Toyota,Fortuner,2019,26227,CNG,21.8,Automatic,Third Owner,1197,5,722226
Kia,Sonet,2023,110109,CNG,16.4,Automatic,Third Owner,1997,6,755337
Toyota,Glanza,2021,67498,CNG,22.7,Manual,Third Owner,1498,5,768365
Hyundai,Verna,2014,94231,Petrol,24.2,Manual,Second Owner,1197,4,445188
Maruti,Swift,2020,71713,CNG,28.4,Manual,Second Owner,,4,644621
Toyota,Urban Cruiser,2011,48896,CNG,27.6,Automatic,Second Owner,1498,6,431251
Mahindra,XUV300,2015,95100,Diesel,21.4,Manual,Second Owner,1497,6,429922
Maruti,Baleno,2011,110364,CNG,27.8,Manual,Third Owner,1497,6,350410
Hyundai,i20,2018,146941,Petrol,28.9,Automatic,First Owner,1498,5,518653
Mahindra,XUV700,2016,49139,Diesel,22.2,Manual,Third Owner,796,6,495746
Hyundai,Venue,2020,188630,Diesel,14.3,Automatic,Third Owner,1497,5,552590
Honda,WR-V,2017,58410,Petrol,28.6,Manual,First Owner,1248,5,578858
Honda,City,2023,133013,Diesel,29.6,Automatic,Second Owner,1997,4,829372
Tata,Harrier,2010,91172,CNG,29.1,Manual,Second Owner,998,5,275239
Hyundai,Venue,2019,35953,Petrol,18.3,Automatic,First Owner,1497,6,683070
Tata,Nexon,2023,116044,Diesel,17.1,Automatic,Second Owner,1997,5,816344
Honda,City,2022,25354,CNG,22.8,Automatic,Second Owner,1498,4,882239
Kia,Sonet,2016,152222,CNG,22,Automatic,First Owner,998,4,423023
Tata,Harrier,2015,186034,Diesel,15.8,Manual,Third Owner,1997,6,327435
Toyota,Innova,2011,94854,CNG,21.7,Manual,Second Owner,1498,7,348068
Tata,Harrier,2015,44108,Diesel,25,Automatic,First Owner,998,6,537079
Toyota,Fortuner,2023,98465,CNG,13,Manual,Third Owner,796,6,667801
Maruti,WagonR,2011,15708,CNG,26.4,Automatic,Second Owner,1197,7,426021
Honda,City,2012,182791,CNG,13.5,Automatic,First Owner,1248,7,215865
Tata,Nexon,2013,149424,CNG,28.7,Automatic,Third Owner,1497,4,399285
Hyundai,Creta,2018,142619,Diesel,28.8,Manual,First Owner,,5,531993
Tata,Harrier,2018,159352,CNG,13.4,Manual,Second Owner,998,5,433346
Tata,Harrier,2014,64020,Petrol,23.6,Manual,First Owner,1498,7,503451
Kia,Sonet,2012,63995,Petrol,12.1,Manual,Second Owner,2179,7,426325
Tata,Harrier,2019,9219,CNG,29.6,Automatic,Third Owner,1997,6,859612
Tata,Punch,2023,74390,Petrol,16.8,Manual,Third Owner,998,4,740930
Maruti,WagonR,2023,168484,Diesel,25.7,Manual,Second Owner,1498,6,668366
Kia,Sonet,2011,96756,Petrol,12.5,Manual,First Owner,2179,5,386625
Maruti,Baleno,2021,24122,Diesel,25.8,Manual,Third Owner,1197,6,738972
Tata,Altroz,2019,178435,CNG,21.1,Manual,First Owner,1197,5,461150
Kia,Sonet,2023,89037,Petrol,17.7,Automatic,First Owner,1248,4,709432
Honda,City,2011,74875,Petrol,20.5,Automatic,Third Owner,1497,7,366904
Mahindra,XUV300,2014,57934,Petrol,18.7,Manual,First Owner,2179,6,563539
Mahindra,Bolero,2024,55151,Diesel,12.7,Automatic,Second Owner,1497,4,838574
Toyota,Fortuner,2010,173021,Petrol,29.9,Automatic,First Owner,998,4,159249
Tata,Harrier,2025,150786,Diesel,25.2,Manual,First Owner,1997,7,795353
Honda,Amaze,2013,56294,Petrol,16.1,Manual,Second Owner,1248,7,403709
Tata,Nexon,2023,151170,Diesel,14.6,Manual,First Owner,2179,7,759017
Maruti,Dzire,2014,17217,CNG,28.4,Manual,First Owner,1498,6,533894
Hyundai,Venue,2013,64694,CNG,26,Automatic,First Owner,1497,4,460983
Hyundai,Creta,2010,42236,Petrol,13.3,Automatic,Third Owner,1498,4,412782
Kia,Seltos,2014,155217,Diesel,19.7,Manual,Second Owner,796,5,226482
Mahindra,XUV300,2021,127777,Petrol,12.8,Automatic,First Owner,1997,4,733839
Tata,Altroz,2016,20447,Petrol,24,Automatic,Third Owner,998,4,599341
Tata,Altroz,2021,116031,Diesel,15.2,Manual,First Owner,1498,5,660524
Tata,Harrier,2015,79554,Petrol,26.3,Automatic,Third Owner,998,4,460362
Maruti,Dzire,2021,186209,CNG,28.5,Automatic,First Owner,2179,6,665755
Maruti,Swift,2010,49396,Petrol,19.6,Manual,Third Owner,1997,5,410392
Toyota,Urban Cruiser,2016,92239,Petrol,27.7,Automatic,Second Owner,1248,7,545289
Hyundai,Verna,2021,92747,Petrol,13.7,Automatic,First Owner,1497,7,728946
Tata,Altroz,2018,18686,Petrol,14.7,Automatic,Third Owner,1197,5,623540
Maruti,Baleno,2017,197458,Petrol,16.3,Automatic,First Owner,1248,7,319443
Mahindra,XUV700,2017,7578,CNG,27.9,Automatic,Third Owner,1197,7,678235
Honda,WR-V,2018,71696,Petrol,27.8,Automatic,First Owner,998,6,649641
Tata,Harrier,2011,49475,CNG,14.6,Automatic,First Owner,998,7,308496
Kia,Carens,2016,128938,Petrol,21.8,Automatic,Third Owner,2179,4,595207
Mahindra,Bolero,2010,121873,Diesel,23.3,Automatic,First Owner,1197,5,301076
Tata,Punch,2021,8567,Petrol,21.9,Manual,First Owner,998,7,782146
Toyota,Glanza,2020,27597,Petrol,18.5,Manual,Third Owner,998,7,649318
Toyota,Fortuner,2021,182653,Petrol,19.4,Automatic,Second Owner,1498,6,544057
Maruti,Dzire,2011,125311,Petrol,27.8,Automatic,Third Owner,998,5,294470
Mahindra,Bolero,2024,84830,Petrol,17.9,Manual,Third Owner,796,7,660872
Toyota,Innova,2023,178925,Petrol,25,Automatic,Second Owner,1248,4,650317
Toyota,Glanza,2013,95172,Petrol,13.6,Automatic,First Owner,998,6,356669
Hyundai,i20,2020,123396,Diesel,23.4,Manual,Second Owner,1497,7,610196
Toyota,Urban Cruiser,2021,118413,Diesel,16.4,Manual,Second Owner,1497,4,622342
Mahindra,XUV300,2016,152426,Diesel,23.2,Automatic,First Owner,2179,7,558354
Honda,City,2014,169829,Diesel,13.1,Manual,Third Owner,998,4,200517
Toyota,Innova,2012,186798,CNG,19.7,Automatic,Second Owner,2179,6,288029
Honda,Jazz,2010,109805,CNG,24.3,Manual,Third Owner,998,4,218241
Maruti,WagonR,2017,191095,Petrol,18.6,Manual,Second Owner,1248,7,397855
Maruti,WagonR,2011,81737,Petrol,14.6,Automatic,Third Owner,1498,6,312618
Kia,Sonet,2024,117914,Diesel,28.2,Automatic,Second Owner,2179,7,921323
Mahindra,Scorpio,2011,42098,Petrol,18.2,Manual,Third Owner,796,5,355055
Hyundai,Verna,2011,50876,Petrol,22.2,Automatic,First Owner,1497,4,421986
Hyundai,i20,2015,28132,CNG,20.6,Automatic,Second Owner,1197,7,556333
Mahindra,XUV300,2015,46791,CNG,29,Automatic,Second Owner,796,7,480776
Honda,WR-V,2010,74638,CNG,24.6,Automatic,Second Owner,2179,4,436745
Tata,Punch,2017,109320,Diesel,13.8,Manual,First Owner,2179,7,563964
Honda,City,2020,8320,Diesel,18.1,Automatic,Third Owner,1497,6,793226
Kia,Sonet,2014,137319,Petrol,12.1,Automatic,Third Owner,1197,4,375576
Toyota,Fortuner,2018,199657,CNG,18.2,Automatic,Third Owner,998,4,388118
Tata,Nexon,2023,59586,Diesel,23.3,Manual,Third Owner,1197,7,754146
Hyundai,Verna,2013,173038,Diesel,16.3,Automatic,Third Owner,1248,5,285358
Honda,City,2016,93323,Petrol,26.8,Manual,First Owner,1197,4,529908
Toyota,Glanza,2018,11204,CNG,18.9,Manual,Third Owner,1248,7,636603
Toyota,Innova,2023,116230,Petrol,22.4,Manual,First Owner,1248,7,737302
Toyota,Fortuner,2021,18595,Diesel,21.9,Automatic,First Owner,1197,6,818437
Hyundai,Creta,2023,168976,CNG,22.4,Manual,Second Owner,1498,5,638970
Maruti,Dzire,2012,103033,CNG,26.5,Manual,Second Owner,998,6,320326
Tata,Harrier,2010,169789,Diesel,29.7,Manual,Third Owner,796,5,166013
Hyundai,i20,2014,26985,CNG,15.5,Manual,First Owner,2179,5,611337
Kia,Seltos,2014,39228,Diesel,22.4,Manual,Second Owner,1498,6,563187
Hyundai,Creta,2021,38311,CNG,21.1,Automatic,Third Owner,796,4,676191
Mahindra,XUV300,2012,81557,Diesel,12.6,Manual,Second Owner,1248,6,325825
Honda,City,2017,180484,Diesel,16.1,Manual,First Owner,1248,5,334438
Toyota,Glanza,2021,8323,Petrol,26.1,Automatic,Third Owner,1197,6,846936
Hyundai,i20,2025,50754,Petrol,18.6,Automatic,First Owner,998,5,864659
Toyota,Urban Cruiser,2011,49447,Petrol,29,Automatic,Second Owner,1997,7,541573
Kia,Sonet,2017,80912,Petrol,13.9,Automatic,Third Owner,1248,6,558751
Maruti,Baleno,2019,141243,Diesel,15.7,Manual,Second Owner,796,5,481067
Mahindra,Bolero,2021,125560,Petrol,26.7,Automatic,Second Owner,1498,4,675735
Mahindra,XUV700,2011,33455,Diesel,12.7,Manual,First Owner,1498,6,403445
Hyundai,Creta,2022,45696,Petrol,22.8,Manual,Third Owner,1997,6,901887
Tata,Harrier,2022,121707,Petrol,27,Manual,Third Owner,2179,4,830356
Tata,Punch,2015,194606,Petrol,21,Manual,First Owner,1197,7,282709
Toyota,Glanza,2021,32948,Petrol,28.8,Automatic,Second Owner,1497,5,804929
Mahindra,Scorpio,2017,64922,CNG,23.6,Manual,Third Owner,1197,6,537987
Hyundai,Creta,2016,98647,Petrol,15.1,Manual,First Owner,2179,7,589151
Kia,Seltos,2018,13171,Petrol,27,Automatic,First Owner,796,7,662783
Kia,Sonet,2017,162995,Petrol,20.9,Automatic,Second Owner,1497,7,505512
Honda,Jazz,2014,137453,Diesel,14.9,Manual,Second Owner,796,5,252782
Mahindra,Bolero,2013,102226,CNG,18.4,Automatic,First Owner,1497,6,435574
Honda,Jazz,2022,45118,Diesel,19.4,Automatic,Third Owner,998,7,792766
Mahindra,XUV300,2011,6742,Diesel,13.2,Automatic,Second Owner,1197,6,383091
Kia,Seltos,2013,169904,Petrol,20,Automatic,Third Owner,1497,5,330156
Toyota,Innova,2012,109043,CNG,19.2,Manual,First Owner,1498,4,335764
Tata,Altroz,2012,67771,Petrol,18.8,Manual,Second Owner,1248,6,367450
Maruti,Swift,2013,31216,Diesel,21.4,Automatic,First Owner,2179,7,580764
Maruti,WagonR,2010,129811,Petrol,15.4,Automatic,Second Owner,796,4,147439
Toyota,Fortuner,2025,45274,Diesel,22.9,Automatic,Second Owner,998,4,836574
Toyota,Innova,2013,195919,Petrol,20,Manual,First Owner,1197,4,249047
Mahindra,Scorpio,2018,93185,Petrol,22.5,Manual,Third Owner,1498,5,634890
Hyundai,Verna,2019,136341,Petrol,19.2,Automatic,Third Owner,1498,4,572371
Mahindra,Bolero,2012,97581,Diesel,15.9,Manual,First Owner,1197,4,267751
Toyota,Urban Cruiser,2016,46290,Petrol,12.3,Automatic,First Owner,1498,4,530200
Mahindra,XUV300,2016,94353,Petrol,12.4,Manual,Third Owner,796,4,359371
Mahindra,Scorpio,2025,152510,Petrol,21.1,Manual,Third Owner,1498,7,697901
Kia,Seltos,2022,112684,Diesel,24.4,Automatic,Second Owner,998,6,655307
Hyundai,Verna,2012,26482,Diesel,21.8,Automatic,First Owner,1497,4,503777
Honda,WR-V,2021,107621,Petrol,24.4,Automatic,Second Owner,796,5,637885
Hyundai,Creta,2014,147772,Petrol,26,Automatic,Second Owner,1197,5,341641
Kia,Seltos,2025,62730,Diesel,28.2,Automatic,Third Owner,1498,5,898936
Tata,Harrier,2023,147230,Diesel,27.5,Manual,First Owner,2179,6,736559
Kia,Carens,2013,137252,Diesel,19,Manual,Second Owner,2179,4,384681
Toyota,Fortuner,2022,144816,CNG,18.3,Manual,Second Owner,1997,6,650339
Toyota,Innova,2017,22949,Diesel,20.2,Automatic,First Owner,2179,4,765239
Hyundai,Venue,2020,185313,CNG,12.5,Manual,Third Owner,1498,7,526652
Mahindra,XUV300,2019,66815,CNG,15.9,Automatic,First Owner,2179,4,704182
Hyundai,Verna,2010,134435,Diesel,15.8,Manual,Third Owner,2179,6,285468
Kia,Carens,2025,69347,CNG,15.6,Automatic,First Owner,1498,6,832783
Kia,Carens,2022,9414,CNG,12.3,Manual,Second Owner,998,7,706029
Mahindra,XUV700,2013,145803,CNG,25,Manual,Third Owner,998,5,287092
Tata,Nexon,2014,199988,CNG,23.1,Automatic,First Owner,998,4,263272
Maruti,WagonR,2018,111879,Petrol,20.7,Manual,Third Owner,1498,6,535482
Toyota,Innova,2011,31361,Diesel,25.4,Automatic,Second Owner,998,7,422797
Maruti,Baleno,2024,57774,Diesel,25.6,Automatic,Second Owner,1497,5,901575
Mahindra,Bolero,2019,150970,Petrol,21,Manual,First Owner,1497,6,566660
Mahindra,XUV700,2014,117375,CNG,21.6,Manual,Third Owner,1197,7,323380
Mahindra,Scorpio,2018,79518,Petrol,15,Automatic,First Owner,1248,7,568762
Toyota,Fortuner,2016,181165,CNG,24,Automatic,First Owner,1248,6,422925
Kia,Seltos,2013,33707,Petrol,20.8,Manual,Second Owner,1497,5,453306
Hyundai,Venue,2020,148332,Petrol,15.7,Automatic,Third Owner,1497,5,541392
Maruti,Baleno,2010,131094,CNG,17.8,Automatic,Second Owner,2179,7,374940
Maruti,Baleno,2017,138844,Diesel,19.9,Manual,First Owner,796,7,398470
Maruti,Dzire,2010,17323,Petrol,13,Automatic,First Owner,1248,7,423521
Honda,City,2016,179340,Diesel,16.4,Manual,First Owner,1498,7,322128
Maruti,Swift,2022,155490,Diesel,28.7,Automatic,First Owner,2179,5,766577
Hyundai,Verna,2022,83025,Diesel,28.1,Manual,Second Owner,2179,4,867011
Tata,Nexon,2019,16040,Diesel,16.2,Manual,Third Owner,1197,5,662532
Honda,Jazz,2012,118873,Petrol,15.8,Automatic,First Owner,1497,5,385442
Honda,WR-V,2023,141188,Petrol,12.8,Manual,Second Owner,796,4,589673
Maruti,Baleno,2025,8602,Petrol,28.8,Manual,Third Owner,1997,6,1008387
Tata,Harrier,2016,44742,CNG,26.2,Manual,First Owner,2179,4,693603
Honda,City,2022,189481,CNG,25.2,Manual,Third Owner,796,6,471518
Honda,Amaze,2017,106485,Petrol,24.1,Manual,Third Owner,1197,7,510917
Hyundai,Verna,2024,46191,Petrol,19.7,Automatic,Third Owner,796,6,753619
Hyundai,Venue,2014,195736,Diesel,25.7,Automatic,First Owner,998,5,251556
Hyundai,Creta,2021,46091,CNG,28.8,Manual,Second Owner,1197,4,753274
Hyundai,Verna,2023,71544,Diesel,23.9,Automatic,Second Owner,1248,5,776617
Tata,Harrier,2019,7818,Diesel,25.6,Manual,Second Owner,998,7,673657
Honda,Amaze,2011,190803,Petrol,22.8,Automatic,Second Owner,1997,5,332044
Hyundai,Creta,2019,154422,Petrol,22.2,Manual,First Owner,1197,7,482136
Mahindra,Scorpio,2021,88671,Petrol,23.4,Manual,Second Owner,2179,4,742041
Toyota,Innova,2019,46313,Petrol,30,Manual,Third Owner,1997,4,733379
Kia,Sonet,2016,69479,CNG,17.4,Automatic,Second Owner,1197,6,522188
Toyota,Innova,2021,67865,Petrol,21.1,Manual,Second Owner,2179,4,790753
Mahindra,Scorpio,2016,22199,Diesel,16.3,Automatic,First Owner,1498,5,580828
Tata,Punch,2017,34226,Petrol,24.2,Manual,First Owner,1497,4,695094
Kia,Sonet,2025,45621,CNG,22.2,Manual,Second Owner,1498,5,945633
Tata,Altroz,2024,109277,Petrol,28.7,Manual,Second Owner,1248,4,716578
Kia,Seltos,2025,45635,Diesel,18.6,Manual,Second Owner,1248,7,844177
Honda,City,2019,148465,CNG,18.1,Manual,Second Owner,796,7,431959
Toyota,Urban Cruiser,2010,13950,Petrol,23.8,Manual,First Owner,998,6,411908
Honda,Amaze,2012,104277,Diesel,26.2,Manual,Third Owner,1997,4,390857
Mahindra,Bolero,2016,78142,Petrol,25,Manual,First Owner,1997,7,601005
Kia,Seltos,2019,23239,Diesel,22.4,Automatic,Second Owner,1248,4,684685
Honda,WR-V,2023,114320,Petrol,19.4,Automatic,First Owner,1497,4,784961
Tata,Nexon,2012,171431,Petrol,16.7,Automatic,Second Owner,1497,4,245351
Tata,Altroz,2017,85244,Diesel,12.7,Automatic,Second Owner,796,4,485374
Mahindra,XUV300,2024,76125,Diesel,25.3,Automatic,First Owner,796,7,815533
Maruti,WagonR,2016,27392,Petrol,21.7,Automatic,Second Owner,998,4,578291
Toyota,Glanza,2016,193034,Diesel,25.9,Automatic,Third Owner,1197,6,367260
Maruti,Swift,2011,26083,CNG,16.5,Automatic,First Owner,1248,7,439267
Honda,Amaze,2020,196348,Diesel,14.9,Manual,Third Owner,998,7,443409
Toyota,Innova,2025,126068,CNG,20.2,Automatic,Third Owner,2179,6,929319
Tata,Harrier,2019,87283,Diesel,16.9,Manual,First Owner,2179,5,644058
Kia,Carens,2013,80971,Petrol,17.7,Automatic,Third Owner,796,5,367643
Tata,Altroz,2024,157730,Petrol,24.1,Automatic,Second Owner,796,6,627668
Toyota,Urban Cruiser,2012,176509,Petrol,15.8,Manual,First Owner,1248,4,195197
Maruti,WagonR,2017,134222,Petrol,28.3,Automatic,Second Owner,1197,4,490266
Tata,Altroz,2020,80129,CNG,27.5,Automatic,Second Owner,1498,4,674653
Tata,Harrier,2023,61904,Petrol,13.4,Manual,Third Owner,1197,7,701229
Maruti,Dzire,2021,173874,Diesel,26.2,Automatic,Third Owner,2179,4,666225
Honda,WR-V,2013,108291,Petrol,27.2,Manual,First Owner,1497,5,455148
Toyota,Urban Cruiser,2021,128859,Diesel,25.4,Automatic,Third Owner,1497,4,658578
Tata,Nexon,2021,192181,Diesel,24.5,Automatic,First Owner,1497,7,606338
Maruti,WagonR,2012,107185,CNG,17.6,Automatic,Third Owner,1498,6,342040
Hyundai,Verna,2014,144860,Diesel,27.5,Automatic,Second Owner,1197,4,334033
Tata,Nexon,2023,98379,Diesel,16.4,Automatic,First Owner,796,5,667095
Tata,Punch,2015,159943,Petrol,27.3,Manual,Second Owner,998,5,303649
Honda,Jazz,2022,57013,CNG,28.3,Automatic,Third Owner,796,7,698690
Toyota,Urban Cruiser,2023,41303,Diesel,18.7,Automatic,First Owner,1997,5,937030
Mahindra,Bolero,2022,127360,Diesel,15,Manual,First Owner,1248,7,633322
Hyundai,Verna,2017,126261,CNG,28.4,Manual,First Owner,1498,4,572230
Toyota,Innova,2023,185101,Diesel,14.8,Automatic,Second Owner,998,7,548321
Honda,Amaze,2015,57220,Petrol,20.3,Manual,First Owner,1248,7,482795
Maruti,Baleno,2022,128812,Petrol,13.5,Automatic,First Owner,1997,6,735339
Toyota,Glanza,2023,147749,Diesel,26.8,Automatic,Second Owner,998,6,714538
Mahindra,XUV300,2024,12731,Petrol,22.9,Automatic,Third Owner,1497,6,981409
Hyundai,Venue,2016,16733,CNG,16.8,Manual,Second Owner,1498,5,563403
Toyota,Urban Cruiser,2024,141810,Diesel,25.8,Manual,Second Owner,1997,4,811229
Toyota,Glanza,2024,137534,CNG,24.5,Manual,Second Owner,1248,4,661908
Hyundai,Verna,2014,117338,Petrol,26.5,Automatic,Third Owner,998,5,349474
Kia,Carens,2024,14343,CNG,29.5,Manual,Second Owner,1497,4,897461
Mahindra,Bolero,2015,174387,Diesel,26.6,Manual,Second Owner,1997,4,409631
Hyundai,i20,2014,15782,CNG,21.6,Manual,Second Owner,1497,4,555577
Honda,Amaze,2011,115806,Diesel,24,Automatic,First Owner,1497,6,296296
Hyundai,Creta,2023,166851,Petrol,13.4,Manual,First Owner,1248,4,534830
Hyundai,Venue,2019,179682,Diesel,13.7,Automatic,Third Owner,998,5,394026
Maruti,WagonR,2025,62002,CNG,24.8,Manual,First Owner,998,5,861044
Hyundai,Creta,2012,171017,CNG,13.6,Automatic,Third Owner,998,5,199707
Tata,Harrier,2021,133118,Diesel,16.9,Manual,First Owner,2179,5,645624
Maruti,WagonR,2016,96188,Petrol,17.9,Automatic,First Owner,2179,5,628275
Maruti,Swift,2018,29405,Diesel,16.1,Manual,Third Owner,2179,7,718926
Mahindra,XUV700,2017,177143,CNG,21,Manual,First Owner,2179,5,501193
Toyota,Urban Cruiser,2010,190490,CNG,16.6,Manual,First Owner,1497,7,92537
Tata,Punch,2010,47228,Diesel,23.6,Manual,Second Owner,1497,6,385916
Kia,Carens,2014,195266,CNG,18.6,Automatic,Second Owner,998,7,213669
Tata,Punch,2018,125491,CNG,24.9,Automatic,Third Owner,1498,5,566877
Mahindra,XUV300,2013,175678,Diesel,23,Automatic,Second Owner,796,5,200477
Kia,Sonet,2021,94136,CNG,23.6,Manual,First Owner,1497,5,721842
Honda,Amaze,2017,44772,Petrol,25.8,Automatic,First Owner,796,4,604037
Tata,Nexon,2023,94892,CNG,13.3,Automatic,Third Owner,1497,7,717997
Honda,City,2021,7725,Petrol,22.3,Manual,Second Owner,998,4,755452
Kia,Carens,2019,123119,Diesel,20.4,Automatic,Third Owner,1197,7,561642
Maruti,Dzire,2011,108033,CNG,22.3,Automatic,Third Owner,1498,6,344836
Honda,Amaze,2016,177966,CNG,20.7,Manual,First Owner,1248,4,312041
Kia,Carens,2011,16821,CNG,21.2,Automatic,Second Owner,1997,5,524933
Tata,Altroz,2011,127365,CNG,25.2,Manual,Second Owner,2179,6,407694
Honda,Jazz,2010,83896,CNG,29.1,Automatic,Third Owner,1498,4,359006
Toyota,Innova,2012,190862,CNG,12.3,Automatic,Third Owner,998,4,200853
Toyota,Glanza,2012,31041,Petrol,25.1,Manual,Second Owner,1497,4,527368
Kia,Seltos,2014,139454,Petrol,21.3,Automatic,First Owner,1997,6,412025
Toyota,Fortuner,2013,92183,Diesel,24,Manual,Second Owner,1248,6,359687
Toyota,Urban Cruiser,2021,59690,Diesel,28.7,Manual,First Owner,1498,5,789693
Mahindra,Bolero,2012,17599,CNG,13.8,Manual,First Owner,1497,4,501589
Honda,City,2019,157059,CNG,16.8,Automatic,Third Owner,1498,7,550062
Maruti,Dzire,2013,195662,Petrol,20.1,Automatic,Second Owner,1248,6,204406
Kia,Sonet,2013,83735,Petrol,18.1,Automatic,Second Owner,1498,5,471548
Tata,Altroz,2022,6128,Diesel,25.3,Manual,Third Owner,1248,6,789977
Tata,Harrier,2017,187802,Petrol,16.9,Manual,First Owner,1497,7,342739
Honda,Amaze,2011,162677,CNG,19.1,Manual,First Owner,1997,5,240191
Tata,Nexon,2013,172976,Petrol,29.3,Automatic,Second Owner,1197,6,267451
Mahindra,Scorpio,2017,69629,Petrol,12.4,Automatic,Second Owner,1497,5,578337
Hyundai,Creta,2019,150960,Diesel,18,Automatic,Third Owner,998,7,505477
Toyota,Innova,2013,154260,CNG,13.5,Automatic,Second Owner,796,7,227416
Kia,Carens,2023,132878,Diesel,29.3,Automatic,Third Owner,1997,6,777689
Toyota,Innova,2019,124492,Diesel,29.5,Manual,Third Owner,1248,4,548924
Toyota,Innova,2020,140440,Petrol,18.9,Automatic,First Owner,1497,7,573794
Maruti,WagonR,2011,104173,Petrol,27.5,Manual,Second Owner,1248,6,311239
Kia,Carens,2023,50431,CNG,17.9,Automatic,Second Owner,1197,7,814033
